dataset,instancia,cantidad_locales,limite_contagio,archivo
bajo_contagio,BAJO_CONTAGIO-1,1,1,instancias/bajo_contagio/BAJO_CONTAGIO-1.txt
bajo_contagio,BAJO_CONTAGIO-2,2,1,instancias/bajo_contagio/BAJO_CONTAGIO-2.txt
bajo_contagio,BAJO_CONTAGIO-3,3,1,instancias/bajo_contagio/BAJO_CONTAGIO-3.txt
bajo_contagio,BAJO_CONTAGIO-4,4,1,instancias/bajo_contagio/BAJO_CONTAGIO-4.txt
bajo_contagio,BAJO_CONTAGIO-5,5,1,instancias/bajo_contagio/BAJO_CONTAGIO-5.txt
bajo_contagio,BAJO_CONTAGIO-6,6,1,instancias/bajo_contagio/BAJO_CONTAGIO-6.txt
bajo_contagio,BAJO_CONTAGIO-7,7,1,instancias/bajo_contagio/BAJO_CONTAGIO-7.txt
bajo_contagio,BAJO_CONTAGIO-8,8,2,instancias/bajo_contagio/BAJO_CONTAGIO-8.txt
bajo_contagio,BAJO_CONTAGIO-9,9,2,instancias/bajo_contagio/BAJO_CONTAGIO-9.txt
bajo_contagio,BAJO_CONTAGIO-10,10,2,instancias/bajo_contagio/BAJO_CONTAGIO-10.txt
bajo_contagio,BAJO_CONTAGIO-11,11,2,instancias/bajo_contagio/BAJO_CONTAGIO-11.txt
bajo_contagio,BAJO_CONTAGIO-12,12,3,instancias/bajo_contagio/BAJO_CONTAGIO-12.txt
bajo_contagio,BAJO_CONTAGIO-13,13,3,instancias/bajo_contagio/BAJO_CONTAGIO-13.txt
bajo_contagio,BAJO_CONTAGIO-14,14,3,instancias/bajo_contagio/BAJO_CONTAGIO-14.txt
bajo_contagio,BAJO_CONTAGIO-15,15,3,instancias/bajo_contagio/BAJO_CONTAGIO-15.txt
bajo_contagio,BAJO_CONTAGIO-16,16,4,instancias/bajo_contagio/BAJO_CONTAGIO-16.txt
bajo_contagio,BAJO_CONTAGIO-17,17,4,instancias/bajo_contagio/BAJO_CONTAGIO-17.txt
bajo_contagio,BAJO_CONTAGIO-18,18,4,instancias/bajo_contagio/BAJO_CONTAGIO-18.txt
bajo_contagio,BAJO_CONTAGIO-19,19,4,instancias/bajo_contagio/BAJO_CONTAGIO-19.txt
bajo_contagio,BAJO_CONTAGIO-20,20,5,instancias/bajo_contagio/BAJO_CONTAGIO-20.txt
bajo_contagio,BAJO_CONTAGIO-21,21,5,instancias/bajo_contagio/BAJO_CONTAGIO-21.txt
bajo_contagio,BAJO_CONTAGIO-22,22,5,instancias/bajo_contagio/BAJO_CONTAGIO-22.txt
bajo_contagio,BAJO_CONTAGIO-23,23,5,instancias/bajo_contagio/BAJO_CONTAGIO-23.txt
bajo_contagio,BAJO_CONTAGIO-24,24,6,instancias/bajo_contagio/BAJO_CONTAGIO-24.txt
bajo_contagio,BAJO_CONTAGIO-25,25,6,instancias/bajo_contagio/BAJO_CONTAGIO-25.txt
bajo_contagio,BAJO_CONTAGIO-26,26,6,instancias/bajo_contagio/BAJO_CONTAGIO-26.txt
bajo_contagio,BAJO_CONTAGIO-27,27,6,instancias/bajo_contagio/BAJO_CONTAGIO-27.txt
bajo_contagio,BAJO_CONTAGIO-28,28,7,instancias/bajo_contagio/BAJO_CONTAGIO-28.txt
bajo_contagio,BAJO_CONTAGIO-29,29,7,instancias/bajo_contagio/BAJO_CONTAGIO-29.txt
bajo_contagio,BAJO_CONTAGIO-30,30,7,instancias/bajo_contagio/BAJO_CONTAGIO-30.txt
bajo_contagio,BAJO_CONTAGIO-31,31,7,instancias/bajo_contagio/BAJO_CONTAGIO-31.txt
bajo_contagio,BAJO_CONTAGIO-32,32,8,instancias/bajo_contagio/BAJO_CONTAGIO-32.txt
bajo_contagio,BAJO_CONTAGIO-33,33,8,instancias/bajo_contagio/BAJO_CONTAGIO-33.txt
bajo_contagio,BAJO_CONTAGIO-34,34,8,instancias/bajo_contagio/BAJO_CONTAGIO-34.txt
bajo_contagio,BAJO_CONTAGIO-35,35,8,instancias/bajo_contagio/BAJO_CONTAGIO-35.txt
bajo_contagio,BAJO_CONTAGIO-36,36,9,instancias/bajo_contagio/BAJO_CONTAGIO-36.txt
bajo_contagio,BAJO_CONTAGIO-37,37,9,instancias/bajo_contagio/BAJO_CONTAGIO-37.txt
bajo_contagio,BAJO_CONTAGIO-38,38,9,instancias/bajo_contagio/BAJO_CONTAGIO-38.txt
bajo_contagio,BAJO_CONTAGIO-39,39,9,instancias/bajo_contagio/BAJO_CONTAGIO-39.txt
bajo_contagio,BAJO_CONTAGIO-40,40,10,instancias/bajo_contagio/BAJO_CONTAGIO-40.txt
bajo_contagio,BAJO_CONTAGIO-41,41,10,instancias/bajo_contagio/BAJO_CONTAGIO-41.txt
bajo_contagio,BAJO_CONTAGIO-42,42,10,instancias/bajo_contagio/BAJO_CONTAGIO-42.txt
bajo_contagio,BAJO_CONTAGIO-43,43,10,instancias/bajo_contagio/BAJO_CONTAGIO-43.txt
