dataset,instancia,cantidad_locales,limite_contagio,archivo
caso-promedio,PROMEDIO-1,1,164,instancias/caso-promedio/PROMEDIO-1.txt
caso-promedio,PROMEDIO-2,2,128,instancias/caso-promedio/PROMEDIO-2.txt
caso-promedio,PROMEDIO-3,3,197,instancias/caso-promedio/PROMEDIO-3.txt
caso-promedio,PROMEDIO-4,4,178,instancias/caso-promedio/PROMEDIO-4.txt
caso-promedio,PROMEDIO-5,5,190,instancias/caso-promedio/PROMEDIO-5.txt
caso-promedio,PROMEDIO-6,6,174,instancias/caso-promedio/PROMEDIO-6.txt
caso-promedio,PROMEDIO-7,7,167,instancias/caso-promedio/PROMEDIO-7.txt
caso-promedio,PROMEDIO-8,8,137,instancias/caso-promedio/PROMEDIO-8.txt
caso-promedio,PROMEDIO-9,9,111,instancias/caso-promedio/PROMEDIO-9.txt
caso-promedio,PROMEDIO-10,10,189,instancias/caso-promedio/PROMEDIO-10.txt
caso-promedio,PROMEDIO-11,11,170,instancias/caso-promedio/PROMEDIO-11.txt
caso-promedio,PROMEDIO-12,12,131,instancias/caso-promedio/PROMEDIO-12.txt
caso-promedio,PROMEDIO-13,13,116,instancias/caso-promedio/PROMEDIO-13.txt
caso-promedio,PROMEDIO-14,14,169,instancias/caso-promedio/PROMEDIO-14.txt
caso-promedio,PROMEDIO-15,15,131,instancias/caso-promedio/PROMEDIO-15.txt
caso-promedio,PROMEDIO-16,16,200,instancias/caso-promedio/PROMEDIO-16.txt
caso-promedio,PROMEDIO-17,17,165,instancias/caso-promedio/PROMEDIO-17.txt
caso-promedio,PROMEDIO-18,18,154,instancias/caso-promedio/PROMEDIO-18.txt
caso-promedio,PROMEDIO-19,19,122,instancias/caso-promedio/PROMEDIO-19.txt
caso-promedio,PROMEDIO-20,20,198,instancias/caso-promedio/PROMEDIO-20.txt
caso-promedio,PROMEDIO-21,21,171,instancias/caso-promedio/PROMEDIO-21.txt
caso-promedio,PROMEDIO-22,22,116,instancias/caso-promedio/PROMEDIO-22.txt
caso-promedio,PROMEDIO-23,23,194,instancias/caso-promedio/PROMEDIO-23.txt
caso-promedio,PROMEDIO-24,24,123,instancias/caso-promedio/PROMEDIO-24.txt
caso-promedio,PROMEDIO-25,25,161,instancias/caso-promedio/PROMEDIO-25.txt
caso-promedio,PROMEDIO-26,26,192,instancias/caso-promedio/PROMEDIO-26.txt
caso-promedio,PROMEDIO-27,27,120,instancias/caso-promedio/PROMEDIO-27.txt
caso-promedio,PROMEDIO-28,28,176,instancias/caso-promedio/PROMEDIO-28.txt
caso-promedio,PROMEDIO-29,29,122,instancias/caso-promedio/PROMEDIO-29.txt
caso-promedio,PROMEDIO-30,30,188,instancias/caso-promedio/PROMEDIO-30.txt
caso-promedio,PROMEDIO-31,31,135,instancias/caso-promedio/PROMEDIO-31.txt
caso-promedio,PROMEDIO-32,32,152,instancias/caso-promedio/PROMEDIO-32.txt
caso-promedio,PROMEDIO-33,33,128,instancias/caso-promedio/PROMEDIO-33.txt
