dataset,instancia,cantidad_locales,limite_contagio,archivo
mejor-caso-BT,BT-MC-1,1,1000,instancias/mejor-caso-BT/BT-MC-1.txt
mejor-caso-BT,BT-MC-2,2,1000,instancias/mejor-caso-BT/BT-MC-2.txt
mejor-caso-BT,BT-MC-3,3,1000,instancias/mejor-caso-BT/BT-MC-3.txt
mejor-caso-BT,BT-MC-4,4,1000,instancias/mejor-caso-BT/BT-MC-4.txt
mejor-caso-BT,BT-MC-5,5,1000,instancias/mejor-caso-BT/BT-MC-5.txt
mejor-caso-BT,BT-MC-6,6,1000,instancias/mejor-caso-BT/BT-MC-6.txt
mejor-caso-BT,BT-MC-7,7,1000,instancias/mejor-caso-BT/BT-MC-7.txt
mejor-caso-BT,BT-MC-8,8,1000,instancias/mejor-caso-BT/BT-MC-8.txt
mejor-caso-BT,BT-MC-9,9,1000,instancias/mejor-caso-BT/BT-MC-9.txt
mejor-caso-BT,BT-MC-10,10,1000,instancias/mejor-caso-BT/BT-MC-10.txt
mejor-caso-BT,BT-MC-11,11,1000,instancias/mejor-caso-BT/BT-MC-11.txt
mejor-caso-BT,BT-MC-12,12,1000,instancias/mejor-caso-BT/BT-MC-12.txt
mejor-caso-BT,BT-MC-13,13,1000,instancias/mejor-caso-BT/BT-MC-13.txt
mejor-caso-BT,BT-MC-14,14,1000,instancias/mejor-caso-BT/BT-MC-14.txt
mejor-caso-BT,BT-MC-15,15,1000,instancias/mejor-caso-BT/BT-MC-15.txt
mejor-caso-BT,BT-MC-16,16,1000,instancias/mejor-caso-BT/BT-MC-16.txt
mejor-caso-BT,BT-MC-17,17,1000,instancias/mejor-caso-BT/BT-MC-17.txt
mejor-caso-BT,BT-MC-18,18,1000,instancias/mejor-caso-BT/BT-MC-18.txt
mejor-caso-BT,BT-MC-19,19,1000,instancias/mejor-caso-BT/BT-MC-19.txt
mejor-caso-BT,BT-MC-20,20,1000,instancias/mejor-caso-BT/BT-MC-20.txt
mejor-caso-BT,BT-MC-21,21,1000,instancias/mejor-caso-BT/BT-MC-21.txt
mejor-caso-BT,BT-MC-22,22,1000,instancias/mejor-caso-BT/BT-MC-22.txt
