dataset,instancia,cantidad_locales,limite_contagio,archivo
mejor-caso-aprox-BT,BT-MC-1,1,70,instancias/mejor-caso-aprox-BT/BT-MC-1.txt
mejor-caso-aprox-BT,BT-MC-2,2,70,instancias/mejor-caso-aprox-BT/BT-MC-2.txt
mejor-caso-aprox-BT,BT-MC-3,3,70,instancias/mejor-caso-aprox-BT/BT-MC-3.txt
mejor-caso-aprox-BT,BT-MC-4,4,70,instancias/mejor-caso-aprox-BT/BT-MC-4.txt
mejor-caso-aprox-BT,BT-MC-5,5,70,instancias/mejor-caso-aprox-BT/BT-MC-5.txt
mejor-caso-aprox-BT,BT-MC-6,6,70,instancias/mejor-caso-aprox-BT/BT-MC-6.txt
mejor-caso-aprox-BT,BT-MC-7,7,70,instancias/mejor-caso-aprox-BT/BT-MC-7.txt
mejor-caso-aprox-BT,BT-MC-8,8,70,instancias/mejor-caso-aprox-BT/BT-MC-8.txt
mejor-caso-aprox-BT,BT-MC-9,9,70,instancias/mejor-caso-aprox-BT/BT-MC-9.txt
mejor-caso-aprox-BT,BT-MC-10,10,70,instancias/mejor-caso-aprox-BT/BT-MC-10.txt
mejor-caso-aprox-BT,BT-MC-11,11,70,instancias/mejor-caso-aprox-BT/BT-MC-11.txt
mejor-caso-aprox-BT,BT-MC-12,12,70,instancias/mejor-caso-aprox-BT/BT-MC-12.txt
mejor-caso-aprox-BT,BT-MC-13,13,70,instancias/mejor-caso-aprox-BT/BT-MC-13.txt
mejor-caso-aprox-BT,BT-MC-14,14,70,instancias/mejor-caso-aprox-BT/BT-MC-14.txt
mejor-caso-aprox-BT,BT-MC-15,15,70,instancias/mejor-caso-aprox-BT/BT-MC-15.txt
mejor-caso-aprox-BT,BT-MC-16,16,70,instancias/mejor-caso-aprox-BT/BT-MC-16.txt
mejor-caso-aprox-BT,BT-MC-17,17,70,instancias/mejor-caso-aprox-BT/BT-MC-17.txt
mejor-caso-aprox-BT,BT-MC-18,18,70,instancias/mejor-caso-aprox-BT/BT-MC-18.txt
mejor-caso-aprox-BT,BT-MC-19,19,70,instancias/mejor-caso-aprox-BT/BT-MC-19.txt
mejor-caso-aprox-BT,BT-MC-20,20,70,instancias/mejor-caso-aprox-BT/BT-MC-20.txt
mejor-caso-aprox-BT,BT-MC-21,21,70,instancias/mejor-caso-aprox-BT/BT-MC-21.txt
mejor-caso-aprox-BT,BT-MC-22,22,70,instancias/mejor-caso-aprox-BT/BT-MC-22.txt
mejor-caso-aprox-BT,BT-MC-23,23,70,instancias/mejor-caso-aprox-BT/BT-MC-23.txt
mejor-caso-aprox-BT,BT-MC-24,24,70,instancias/mejor-caso-aprox-BT/BT-MC-24.txt
mejor-caso-aprox-BT,BT-MC-25,25,70,instancias/mejor-caso-aprox-BT/BT-MC-25.txt
mejor-caso-aprox-BT,BT-MC-26,26,70,instancias/mejor-caso-aprox-BT/BT-MC-26.txt
mejor-caso-aprox-BT,BT-MC-27,27,70,instancias/mejor-caso-aprox-BT/BT-MC-27.txt
mejor-caso-aprox-BT,BT-MC-28,28,70,instancias/mejor-caso-aprox-BT/BT-MC-28.txt
mejor-caso-aprox-BT,BT-MC-29,29,70,instancias/mejor-caso-aprox-BT/BT-MC-29.txt
mejor-caso-aprox-BT,BT-MC-30,30,70,instancias/mejor-caso-aprox-BT/BT-MC-30.txt
mejor-caso-aprox-BT,BT-MC-31,31,70,instancias/mejor-caso-aprox-BT/BT-MC-31.txt
mejor-caso-aprox-BT,BT-MC-32,32,70,instancias/mejor-caso-aprox-BT/BT-MC-32.txt
