dataset,instancia,cantidad_locales,limite_contagio,archivo
peor-caso-BT,BT-PC-1,1,0,instancias/peor-caso-BT/BT-PC-1.txt
peor-caso-BT,BT-PC-2,2,1,instancias/peor-caso-BT/BT-PC-2.txt
peor-caso-BT,BT-PC-3,3,1,instancias/peor-caso-BT/BT-PC-3.txt
peor-caso-BT,BT-PC-4,4,2,instancias/peor-caso-BT/BT-PC-4.txt
peor-caso-BT,BT-PC-5,5,2,instancias/peor-caso-BT/BT-PC-5.txt
peor-caso-BT,BT-PC-6,6,3,instancias/peor-caso-BT/BT-PC-6.txt
peor-caso-BT,BT-PC-7,7,3,instancias/peor-caso-BT/BT-PC-7.txt
peor-caso-BT,BT-PC-8,8,4,instancias/peor-caso-BT/BT-PC-8.txt
peor-caso-BT,BT-PC-9,9,4,instancias/peor-caso-BT/BT-PC-9.txt
peor-caso-BT,BT-PC-10,10,5,instancias/peor-caso-BT/BT-PC-10.txt
peor-caso-BT,BT-PC-11,11,5,instancias/peor-caso-BT/BT-PC-11.txt
peor-caso-BT,BT-PC-12,12,6,instancias/peor-caso-BT/BT-PC-12.txt
peor-caso-BT,BT-PC-13,13,6,instancias/peor-caso-BT/BT-PC-13.txt
peor-caso-BT,BT-PC-14,14,7,instancias/peor-caso-BT/BT-PC-14.txt
peor-caso-BT,BT-PC-15,15,7,instancias/peor-caso-BT/BT-PC-15.txt
peor-caso-BT,BT-PC-16,16,8,instancias/peor-caso-BT/BT-PC-16.txt
peor-caso-BT,BT-PC-17,17,8,instancias/peor-caso-BT/BT-PC-17.txt
peor-caso-BT,BT-PC-18,18,9,instancias/peor-caso-BT/BT-PC-18.txt
peor-caso-BT,BT-PC-19,19,9,instancias/peor-caso-BT/BT-PC-19.txt
peor-caso-BT,BT-PC-20,20,10,instancias/peor-caso-BT/BT-PC-20.txt
peor-caso-BT,BT-PC-21,21,10,instancias/peor-caso-BT/BT-PC-21.txt
peor-caso-BT,BT-PC-22,22,11,instancias/peor-caso-BT/BT-PC-22.txt
peor-caso-BT,BT-PC-23,23,11,instancias/peor-caso-BT/BT-PC-23.txt
peor-caso-BT,BT-PC-24,24,12,instancias/peor-caso-BT/BT-PC-24.txt
peor-caso-BT,BT-PC-25,25,12,instancias/peor-caso-BT/BT-PC-25.txt
peor-caso-BT,BT-PC-26,26,13,instancias/peor-caso-BT/BT-PC-26.txt
peor-caso-BT,BT-PC-27,27,13,instancias/peor-caso-BT/BT-PC-27.txt
peor-caso-BT,BT-PC-28,28,14,instancias/peor-caso-BT/BT-PC-28.txt
peor-caso-BT,BT-PC-29,29,14,instancias/peor-caso-BT/BT-PC-29.txt
peor-caso-BT,BT-PC-30,30,15,instancias/peor-caso-BT/BT-PC-30.txt
peor-caso-BT,BT-PC-31,31,15,instancias/peor-caso-BT/BT-PC-31.txt
peor-caso-BT,BT-PC-32,32,16,instancias/peor-caso-BT/BT-PC-32.txt
peor-caso-BT,BT-PC-33,33,16,instancias/peor-caso-BT/BT-PC-33.txt
peor-caso-BT,BT-PC-34,34,17,instancias/peor-caso-BT/BT-PC-34.txt
peor-caso-BT,BT-PC-35,35,17,instancias/peor-caso-BT/BT-PC-35.txt
peor-caso-BT,BT-PC-36,36,18,instancias/peor-caso-BT/BT-PC-36.txt
peor-caso-BT,BT-PC-37,37,18,instancias/peor-caso-BT/BT-PC-37.txt
peor-caso-BT,BT-PC-38,38,19,instancias/peor-caso-BT/BT-PC-38.txt
peor-caso-BT,BT-PC-39,39,19,instancias/peor-caso-BT/BT-PC-39.txt
peor-caso-BT,BT-PC-40,40,20,instancias/peor-caso-BT/BT-PC-40.txt
peor-caso-BT,BT-PC-41,41,20,instancias/peor-caso-BT/BT-PC-41.txt
peor-caso-BT,BT-PC-42,42,21,instancias/peor-caso-BT/BT-PC-42.txt
peor-caso-BT,BT-PC-43,43,21,instancias/peor-caso-BT/BT-PC-43.txt
peor-caso-BT,BT-PC-44,44,22,instancias/peor-caso-BT/BT-PC-44.txt
