dataset,instancia,cantidad_locales,limite_contagio,archivo
variacion_n_m,DP-100-100,100,100,instancias/variacion_n_m/DP-100-100.txt
variacion_n_m,DP-100-150,100,150,instancias/variacion_n_m/DP-100-150.txt
variacion_n_m,DP-100-200,100,200,instancias/variacion_n_m/DP-100-200.txt
variacion_n_m,DP-100-250,100,250,instancias/variacion_n_m/DP-100-250.txt
variacion_n_m,DP-100-300,100,300,instancias/variacion_n_m/DP-100-300.txt
variacion_n_m,DP-100-350,100,350,instancias/variacion_n_m/DP-100-350.txt
variacion_n_m,DP-100-400,100,400,instancias/variacion_n_m/DP-100-400.txt
variacion_n_m,DP-100-450,100,450,instancias/variacion_n_m/DP-100-450.txt
variacion_n_m,DP-100-500,100,500,instancias/variacion_n_m/DP-100-500.txt
variacion_n_m,DP-100-550,100,550,instancias/variacion_n_m/DP-100-550.txt
variacion_n_m,DP-100-600,100,600,instancias/variacion_n_m/DP-100-600.txt
variacion_n_m,DP-100-650,100,650,instancias/variacion_n_m/DP-100-650.txt
variacion_n_m,DP-100-700,100,700,instancias/variacion_n_m/DP-100-700.txt
variacion_n_m,DP-100-750,100,750,instancias/variacion_n_m/DP-100-750.txt
variacion_n_m,DP-100-800,100,800,instancias/variacion_n_m/DP-100-800.txt
variacion_n_m,DP-100-850,100,850,instancias/variacion_n_m/DP-100-850.txt
variacion_n_m,DP-100-900,100,900,instancias/variacion_n_m/DP-100-900.txt
variacion_n_m,DP-100-950,100,950,instancias/variacion_n_m/DP-100-950.txt
variacion_n_m,DP-100-1000,100,1000,instancias/variacion_n_m/DP-100-1000.txt
variacion_n_m,DP-100-1050,100,1050,instancias/variacion_n_m/DP-100-1050.txt
variacion_n_m,DP-100-1100,100,1100,instancias/variacion_n_m/DP-100-1100.txt
variacion_n_m,DP-100-1150,100,1150,instancias/variacion_n_m/DP-100-1150.txt
variacion_n_m,DP-100-1200,100,1200,instancias/variacion_n_m/DP-100-1200.txt
variacion_n_m,DP-100-1250,100,1250,instancias/variacion_n_m/DP-100-1250.txt
variacion_n_m,DP-100-1300,100,1300,instancias/variacion_n_m/DP-100-1300.txt
variacion_n_m,DP-100-1350,100,1350,instancias/variacion_n_m/DP-100-1350.txt
variacion_n_m,DP-100-1400,100,1400,instancias/variacion_n_m/DP-100-1400.txt
variacion_n_m,DP-100-1450,100,1450,instancias/variacion_n_m/DP-100-1450.txt
