dataset,cantidad_locales,limite_contagio,metodo,tiempo
alto_contagio,0,3,FB,0.003536
alto_contagio,1,0,FB,0.002535
alto_contagio,2,1,FB,0.003978
alto_contagio,3,6,FB,0.002485
alto_contagio,4,7,FB,0.004148
alto_contagio,5,4,FB,0.002164
alto_contagio,6,5,FB,0.004309
alto_contagio,7,10,FB,0.004939
alto_contagio,8,11,FB,0.002876
alto_contagio,9,8,FB,0.003927
alto_contagio,10,9,FB,0.006963
alto_contagio,11,14,FB,0.009769
alto_contagio,12,15,FB,0.014126
alto_contagio,13,12,FB,0.0164
alto_contagio,14,13,FB,0.012293
alto_contagio,15,18,FB,0.035747
alto_contagio,16,19,FB,0.058489
alto_contagio,17,16,FB,0.039043
alto_contagio,18,17,FB,0.125716
alto_contagio,19,22,FB,0.178795
alto_contagio,20,23,FB,0.150272
alto_contagio,21,20,FB,0.499386
alto_contagio,22,21,FB,0.39976
alto_contagio,23,26,FB,1.28941
alto_contagio,24,27,FB,1.38346
alto_contagio,25,24,FB,3.06001
alto_contagio,26,25,FB,4.64288
alto_contagio,27,30,FB,8.01466
alto_contagio,28,31,FB,9.01688
alto_contagio,29,28,FB,15.4009
alto_contagio,30,29,FB,17.8468
alto_contagio,31,34,FB,29.8971
alto_contagio,32,35,FB,43.5962
alto_contagio,33,32,FB,66.7581
alto_contagio,34,33,FB,102.911
alto_contagio,35,38,FB,162.835
alto_contagio,36,39,FB,254.074
alto_contagio,37,36,FB,393.137
alto_contagio,38,37,FB,630.148
alto_contagio,39,42,FB,1036.38
alto_contagio,40,43,FB,1730.11
alto_contagio,41,40,FB,2689.0
alto_contagio,42,41,FB,4335.43
alto_contagio,43,46,FB,7254.46
alto_contagio,44,47,FB,11311.9
alto_contagio,45,44,FB,18529.3
alto_contagio,46,45,FB,30559.3
alto_contagio,47,50,FB,47901.8
alto_contagio,48,51,FB,77399.4
alto_contagio,49,48,FB,123171.0
bajo_contagio,0,1,FB,0.001673
bajo_contagio,1,1,FB,0.001854
bajo_contagio,2,1,FB,0.001864
bajo_contagio,3,1,FB,0.001873
bajo_contagio,4,1,FB,0.001953
bajo_contagio,5,1,FB,0.003928
bajo_contagio,6,1,FB,0.002194
bajo_contagio,7,2,FB,0.002314
bajo_contagio,8,2,FB,0.002445
bajo_contagio,9,2,FB,0.002916
bajo_contagio,10,2,FB,0.003566
bajo_contagio,11,3,FB,0.006943
bajo_contagio,12,3,FB,0.005741
bajo_contagio,13,3,FB,0.010229
bajo_contagio,14,3,FB,0.020057
bajo_contagio,15,4,FB,0.020138
bajo_contagio,16,4,FB,0.048491
bajo_contagio,17,4,FB,0.036368
bajo_contagio,18,4,FB,0.056135
bajo_contagio,19,5,FB,0.095418
bajo_contagio,20,5,FB,0.137387
bajo_contagio,21,5,FB,0.380081
bajo_contagio,22,5,FB,0.393756
bajo_contagio,23,6,FB,0.616652
bajo_contagio,24,6,FB,0.954263
bajo_contagio,25,6,FB,1.50752
bajo_contagio,26,6,FB,2.53174
bajo_contagio,27,7,FB,4.13936
bajo_contagio,28,7,FB,6.63126
bajo_contagio,29,7,FB,8.56582
bajo_contagio,30,7,FB,15.5137
bajo_contagio,31,8,FB,25.1997
bajo_contagio,32,8,FB,36.2603
bajo_contagio,33,8,FB,61.2781
bajo_contagio,34,8,FB,91.8575
bajo_contagio,35,9,FB,146.047
bajo_contagio,36,9,FB,248.984
bajo_contagio,37,9,FB,396.227
bajo_contagio,38,9,FB,620.117
bajo_contagio,39,10,FB,1001.88
bajo_contagio,40,10,FB,1678.96
bajo_contagio,41,10,FB,2655.9
bajo_contagio,42,10,FB,4199.3
bajo_contagio,43,11,FB,6806.07
bajo_contagio,44,11,FB,11026.3
bajo_contagio,45,11,FB,17951.3
bajo_contagio,46,11,FB,29301.1
bajo_contagio,47,12,FB,50292.2
bajo_contagio,48,12,FB,77406.5
bajo_contagio,49,12,FB,126119.0
