dataset,cantidad_locales,limite_contagio,metodo,tiempo
mejor-caso-BT,0,1000,BT,0.002294
mejor-caso-BT,0,1000,BT-F,0.002244
mejor-caso-BT,0,1000,BT-O,0.002515
mejor-caso-BT,1,1000,BT,0.002825
mejor-caso-BT,1,1000,BT-F,0.002966
mejor-caso-BT,1,1000,BT-O,0.002564
mejor-caso-BT,2,1000,BT,0.002144
mejor-caso-BT,2,1000,BT-F,0.002765
mejor-caso-BT,2,1000,BT-O,0.002705
mejor-caso-BT,3,1000,BT,0.003026
mejor-caso-BT,3,1000,BT-F,0.002865
mejor-caso-BT,3,1000,BT-O,0.002815
mejor-caso-BT,4,1000,BT,0.002615
mejor-caso-BT,4,1000,BT-F,0.002905
mejor-caso-BT,4,1000,BT-O,0.003066
mejor-caso-BT,5,1000,BT,0.002234
mejor-caso-BT,5,1000,BT-F,0.002775
mejor-caso-BT,5,1000,BT-O,0.003036
mejor-caso-BT,6,1000,BT,0.002946
mejor-caso-BT,6,1000,BT-F,0.002745
mejor-caso-BT,6,1000,BT-O,0.003918
mejor-caso-BT,7,1000,BT,0.002675
mejor-caso-BT,7,1000,BT-F,0.002675
mejor-caso-BT,7,1000,BT-O,0.003456
mejor-caso-BT,8,1000,BT,0.002675
mejor-caso-BT,8,1000,BT-F,0.002615
mejor-caso-BT,8,1000,BT-O,0.003948
mejor-caso-BT,9,1000,BT,0.002154
mejor-caso-BT,9,1000,BT-F,0.002474
mejor-caso-BT,9,1000,BT-O,0.004649
mejor-caso-BT,10,1000,BT,0.002685
mejor-caso-BT,10,1000,BT-F,0.002384
mejor-caso-BT,10,1000,BT-O,0.004949
mejor-caso-BT,11,1000,BT,0.002715
mejor-caso-BT,11,1000,BT-F,0.002885
mejor-caso-BT,11,1000,BT-O,0.007614
mejor-caso-BT,12,1000,BT,0.002314
mejor-caso-BT,12,1000,BT-F,0.002655
mejor-caso-BT,12,1000,BT-O,0.010079
mejor-caso-BT,13,1000,BT,0.002524
mejor-caso-BT,13,1000,BT-F,0.003226
mejor-caso-BT,13,1000,BT-O,0.014487
mejor-caso-BT,14,1000,BT,0.002685
mejor-caso-BT,14,1000,BT-F,0.002244
mejor-caso-BT,14,1000,BT-O,0.015118
mejor-caso-BT,15,1000,BT,0.002815
mejor-caso-BT,15,1000,BT-F,0.002796
mejor-caso-BT,15,1000,BT-O,0.026369
mejor-caso-BT,16,1000,BT,0.002535
mejor-caso-BT,16,1000,BT-F,0.002775
mejor-caso-BT,16,1000,BT-O,0.041708
mejor-caso-BT,17,1000,BT,0.002775
mejor-caso-BT,17,1000,BT-F,0.002495
