dataset,cantidad_locales,limite_contagio,metodo,tiempo
alto_contagio,1,1,BT,0.002064
alto_contagio,1,1,BT-F,0.002865
alto_contagio,1,1,BT-O,0.003236
alto_contagio,1,1,BT,0.003136
alto_contagio,1,1,BT-F,0.003576
alto_contagio,1,1,BT-O,0.003757
alto_contagio,1,1,BT,0.003367
alto_contagio,1,1,BT-F,0.003286
alto_contagio,1,1,BT-O,0.003496
alto_contagio,1,1,BT,0.003507
alto_contagio,1,1,BT-F,0.003517
alto_contagio,1,1,BT-O,0.003857
alto_contagio,1,1,BT,0.003586
alto_contagio,1,1,BT-F,0.003346
alto_contagio,1,1,BT-O,0.003697
alto_contagio,1,1,BT,0.002184
alto_contagio,1,1,BT-F,0.001923
alto_contagio,1,1,BT-O,0.002224
alto_contagio,1,1,BT,0.003387
alto_contagio,1,1,BT-F,0.003427
alto_contagio,1,1,BT-O,0.003597
alto_contagio,1,1,BT,0.003467
alto_contagio,1,1,BT-F,0.003206
alto_contagio,1,1,BT-O,0.001993
alto_contagio,1,1,BT,0.003577
alto_contagio,1,1,BT-F,0.001923
alto_contagio,1,1,BT-O,0.003596
alto_contagio,1,1,BT,0.001793
alto_contagio,1,1,BT-F,0.001974
alto_contagio,1,1,BT-O,0.001964
alto_contagio,2,8,BT,0.003166
alto_contagio,2,8,BT-F,0.001964
alto_contagio,2,8,BT-O,0.003286
alto_contagio,2,8,BT,0.003156
alto_contagio,2,8,BT-F,0.003496
alto_contagio,2,8,BT-O,0.003627
alto_contagio,2,8,BT,0.002174
alto_contagio,2,8,BT-F,0.003537
alto_contagio,2,8,BT-O,0.002204
alto_contagio,2,8,BT,0.001893
alto_contagio,2,8,BT-F,0.003547
alto_contagio,2,8,BT-O,0.003646
alto_contagio,2,8,BT,0.003186
alto_contagio,2,8,BT-F,0.003506
alto_contagio,2,8,BT-O,0.003176
alto_contagio,2,8,BT,0.002154
alto_contagio,2,8,BT-F,0.001884
alto_contagio,2,8,BT-O,0.001973
alto_contagio,2,8,BT,0.001783
alto_contagio,2,8,BT-F,0.001874
alto_contagio,2,8,BT-O,0.001924
alto_contagio,2,8,BT,0.001793
alto_contagio,2,8,BT-F,0.001894
alto_contagio,2,8,BT-O,0.003537
alto_contagio,2,8,BT,0.001883
alto_contagio,2,8,BT-F,0.003477
alto_contagio,2,8,BT-O,0.001934
alto_contagio,2,8,BT,0.003407
alto_contagio,2,8,BT-F,0.003337
alto_contagio,2,8,BT-O,0.003747
alto_contagio,3,27,BT,0.003206
alto_contagio,3,27,BT-F,0.003286
alto_contagio,3,27,BT-O,0.003617
alto_contagio,3,27,BT,0.003386
alto_contagio,3,27,BT-F,0.003647
alto_contagio,3,27,BT-O,0.003587
alto_contagio,3,27,BT,0.003076
alto_contagio,3,27,BT-F,0.003406
alto_contagio,3,27,BT-O,0.003717
alto_contagio,3,27,BT,0.003316
alto_contagio,3,27,BT-F,0.003566
alto_contagio,3,27,BT-O,0.003336
alto_contagio,3,27,BT,0.003467
alto_contagio,3,27,BT-F,0.003145
alto_contagio,3,27,BT-O,0.003406
alto_contagio,3,27,BT,0.003387
alto_contagio,3,27,BT-F,0.003256
alto_contagio,3,27,BT-O,0.003407
alto_contagio,3,27,BT,0.003176
alto_contagio,3,27,BT-F,0.003717
alto_contagio,3,27,BT-O,0.003336
alto_contagio,3,27,BT,0.003537
alto_contagio,3,27,BT-F,0.003466
alto_contagio,3,27,BT-O,0.003606
alto_contagio,3,27,BT,0.003407
alto_contagio,3,27,BT-F,0.002965
alto_contagio,3,27,BT-O,0.003556
alto_contagio,3,27,BT,0.003577
alto_contagio,3,27,BT-F,0.003316
alto_contagio,3,27,BT-O,0.003767
alto_contagio,4,64,BT,0.003446
alto_contagio,4,64,BT-F,0.003677
alto_contagio,4,64,BT-O,0.003787
alto_contagio,4,64,BT,0.002154
alto_contagio,4,64,BT-F,0.003717
alto_contagio,4,64,BT-O,0.003717
alto_contagio,4,64,BT,0.003526
alto_contagio,4,64,BT-F,0.003306
alto_contagio,4,64,BT-O,0.003927
alto_contagio,4,64,BT,0.003346
alto_contagio,4,64,BT-F,0.003567
alto_contagio,4,64,BT-O,0.003757
alto_contagio,4,64,BT,0.003266
alto_contagio,4,64,BT-F,0.002805
alto_contagio,4,64,BT-O,0.003707
alto_contagio,4,64,BT,0.003307
alto_contagio,4,64,BT-F,0.003466
alto_contagio,4,64,BT-O,0.003376
alto_contagio,4,64,BT,0.003537
alto_contagio,4,64,BT-F,0.003657
alto_contagio,4,64,BT-O,0.003817
alto_contagio,4,64,BT,0.003206
alto_contagio,4,64,BT-F,0.003587
alto_contagio,4,64,BT-O,0.003406
alto_contagio,4,64,BT,0.003587
alto_contagio,4,64,BT-F,0.003226
alto_contagio,4,64,BT-O,0.003757
alto_contagio,4,64,BT,0.003236
alto_contagio,4,64,BT-F,0.003387
alto_contagio,4,64,BT-O,0.003316
alto_contagio,5,125,BT,0.003296
alto_contagio,5,125,BT-F,0.003827
alto_contagio,5,125,BT-O,0.003727
alto_contagio,5,125,BT,0.003537
alto_contagio,5,125,BT-F,0.003947
alto_contagio,5,125,BT-O,0.003937
alto_contagio,5,125,BT,0.003727
alto_contagio,5,125,BT-F,0.003797
alto_contagio,5,125,BT-O,0.004057
alto_contagio,5,125,BT,0.003557
alto_contagio,5,125,BT-F,0.003907
alto_contagio,5,125,BT-O,0.003777
alto_contagio,5,125,BT,0.002996
alto_contagio,5,125,BT-F,0.003687
alto_contagio,5,125,BT-O,0.004137
alto_contagio,5,125,BT,0.003416
alto_contagio,5,125,BT-F,0.003507
alto_contagio,5,125,BT-O,0.004228
alto_contagio,5,125,BT,0.003547
alto_contagio,5,125,BT-F,0.003497
alto_contagio,5,125,BT-O,0.003657
alto_contagio,5,125,BT,0.002765
alto_contagio,5,125,BT-F,0.003747
alto_contagio,5,125,BT-O,0.003747
alto_contagio,5,125,BT,0.003356
alto_contagio,5,125,BT-F,0.003898
alto_contagio,5,125,BT-O,0.004238
alto_contagio,5,125,BT,0.002485
alto_contagio,5,125,BT-F,0.003717
alto_contagio,5,125,BT-O,0.002835
alto_contagio,6,216,BT,0.003787
alto_contagio,6,216,BT-F,0.004098
alto_contagio,6,216,BT-O,0.004018
alto_contagio,6,216,BT,0.003777
alto_contagio,6,216,BT-F,0.004047
alto_contagio,6,216,BT-O,0.004418
alto_contagio,6,216,BT,0.003576
alto_contagio,6,216,BT-F,0.003847
alto_contagio,6,216,BT-O,0.004578
alto_contagio,6,216,BT,0.003567
alto_contagio,6,216,BT-F,0.003737
alto_contagio,6,216,BT-O,0.004228
alto_contagio,6,216,BT,0.003958
alto_contagio,6,216,BT-F,0.002134
alto_contagio,6,216,BT-O,0.004308
alto_contagio,6,216,BT,0.004008
alto_contagio,6,216,BT-F,0.003937
alto_contagio,6,216,BT-O,0.004218
alto_contagio,6,216,BT,0.003877
alto_contagio,6,216,BT-F,0.004108
alto_contagio,6,216,BT-O,0.004429
alto_contagio,6,216,BT,0.003457
alto_contagio,6,216,BT-F,0.004017
alto_contagio,6,216,BT-O,0.004379
alto_contagio,6,216,BT,0.003937
alto_contagio,6,216,BT-F,0.003607
alto_contagio,6,216,BT-O,0.004669
alto_contagio,6,216,BT,0.003667
alto_contagio,6,216,BT-F,0.004038
alto_contagio,6,216,BT-O,0.003156
alto_contagio,7,343,BT,0.004318
alto_contagio,7,343,BT-F,0.003967
alto_contagio,7,343,BT-O,0.004739
alto_contagio,7,343,BT,0.002735
alto_contagio,7,343,BT-F,0.002504
alto_contagio,7,343,BT-O,0.004188
alto_contagio,7,343,BT,0.002305
alto_contagio,7,343,BT-F,0.003116
alto_contagio,7,343,BT-O,0.004899
alto_contagio,7,343,BT,0.004448
alto_contagio,7,343,BT-F,0.004428
alto_contagio,7,343,BT-O,0.004348
alto_contagio,7,343,BT,0.004519
alto_contagio,7,343,BT-F,0.003727
alto_contagio,7,343,BT-O,0.005199
alto_contagio,7,343,BT,0.004328
alto_contagio,7,343,BT-F,0.004308
alto_contagio,7,343,BT-O,0.004919
alto_contagio,7,343,BT,0.004117
alto_contagio,7,343,BT-F,0.004218
alto_contagio,7,343,BT-O,0.002685
alto_contagio,7,343,BT,0.004478
alto_contagio,7,343,BT-F,0.004167
alto_contagio,7,343,BT-O,0.005009
alto_contagio,7,343,BT,0.004378
alto_contagio,7,343,BT-F,0.003056
alto_contagio,7,343,BT-O,0.002515
alto_contagio,7,343,BT,0.002324
alto_contagio,7,343,BT-F,0.002265
alto_contagio,7,343,BT-O,0.002655
alto_contagio,8,512,BT,0.002615
alto_contagio,8,512,BT-F,0.002926
alto_contagio,8,512,BT-O,0.003026
alto_contagio,8,512,BT,0.004298
alto_contagio,8,512,BT-F,0.004238
alto_contagio,8,512,BT-O,0.00549
alto_contagio,8,512,BT,0.002715
alto_contagio,8,512,BT-F,0.002244
alto_contagio,8,512,BT-O,0.003296
alto_contagio,8,512,BT,0.004217
alto_contagio,8,512,BT-F,0.003657
alto_contagio,8,512,BT-O,0.00555
alto_contagio,8,512,BT,0.003878
alto_contagio,8,512,BT-F,0.003937
alto_contagio,8,512,BT-O,0.00525
alto_contagio,8,512,BT,0.003196
alto_contagio,8,512,BT-F,0.003858
alto_contagio,8,512,BT-O,0.006071
alto_contagio,8,512,BT,0.003887
alto_contagio,8,512,BT-F,0.004137
alto_contagio,8,512,BT-O,0.00508
alto_contagio,8,512,BT,0.004398
alto_contagio,8,512,BT-F,0.003938
alto_contagio,8,512,BT-O,0.00514
alto_contagio,8,512,BT,0.003887
alto_contagio,8,512,BT-F,0.004188
alto_contagio,8,512,BT-O,0.003286
alto_contagio,8,512,BT,0.002695
alto_contagio,8,512,BT-F,0.002875
alto_contagio,8,512,BT-O,0.00541
alto_contagio,9,729,BT,0.00569
alto_contagio,9,729,BT-F,0.004599
alto_contagio,9,729,BT-O,0.006181
alto_contagio,9,729,BT,0.005019
alto_contagio,9,729,BT-F,0.004909
alto_contagio,9,729,BT-O,0.006672
alto_contagio,9,729,BT,0.003486
alto_contagio,9,729,BT-F,0.004629
alto_contagio,9,729,BT-O,0.006252
alto_contagio,9,729,BT,0.00525
alto_contagio,9,729,BT-F,0.00506
alto_contagio,9,729,BT-O,0.007023
alto_contagio,9,729,BT,0.005731
alto_contagio,9,729,BT-F,0.004539
alto_contagio,9,729,BT-O,0.006311
alto_contagio,9,729,BT,0.005831
alto_contagio,9,729,BT-F,0.00508
alto_contagio,9,729,BT-O,0.006933
alto_contagio,9,729,BT,0.004138
alto_contagio,9,729,BT-F,0.00505
alto_contagio,9,729,BT-O,0.007164
alto_contagio,9,729,BT,0.006071
alto_contagio,9,729,BT-F,0.004789
alto_contagio,9,729,BT-O,0.006872
alto_contagio,9,729,BT,0.004529
alto_contagio,9,729,BT-F,0.004598
alto_contagio,9,729,BT-O,0.006492
alto_contagio,9,729,BT,0.00513
alto_contagio,9,729,BT-F,0.004619
alto_contagio,9,729,BT-O,0.006372
alto_contagio,10,1000,BT,0.004769
alto_contagio,10,1000,BT-F,0.004458
alto_contagio,10,1000,BT-O,0.006622
alto_contagio,10,1000,BT,0.003266
alto_contagio,10,1000,BT-F,0.004619
alto_contagio,10,1000,BT-O,0.006882
alto_contagio,10,1000,BT,0.005029
alto_contagio,10,1000,BT-F,0.004248
alto_contagio,10,1000,BT-O,0.006833
alto_contagio,10,1000,BT,0.004508
alto_contagio,10,1000,BT-F,0.004067
alto_contagio,10,1000,BT-O,0.007574
alto_contagio,10,1000,BT,0.004819
alto_contagio,10,1000,BT-F,0.004439
alto_contagio,10,1000,BT-O,0.006702
alto_contagio,10,1000,BT,0.004439
alto_contagio,10,1000,BT-F,0.004388
alto_contagio,10,1000,BT-O,0.007314
alto_contagio,10,1000,BT,0.004819
alto_contagio,10,1000,BT-F,0.004178
alto_contagio,10,1000,BT-O,0.007194
alto_contagio,10,1000,BT,0.004609
alto_contagio,10,1000,BT-F,0.004398
alto_contagio,10,1000,BT-O,0.006492
alto_contagio,10,1000,BT,0.004608
alto_contagio,10,1000,BT-F,0.004579
alto_contagio,10,1000,BT-O,0.007203
alto_contagio,10,1000,BT,0.004769
alto_contagio,10,1000,BT-F,0.004459
alto_contagio,10,1000,BT-O,0.006672
alto_contagio,11,1331,BT,0.005641
alto_contagio,11,1331,BT-F,0.00516
alto_contagio,11,1331,BT-O,0.009808
alto_contagio,11,1331,BT,0.005891
alto_contagio,11,1331,BT-F,0.00539
alto_contagio,11,1331,BT-O,0.0055
alto_contagio,11,1331,BT,0.006072
alto_contagio,11,1331,BT-F,0.004739
alto_contagio,11,1331,BT-O,0.01063
alto_contagio,11,1331,BT,0.00556
alto_contagio,11,1331,BT-F,0.00521
alto_contagio,11,1331,BT-O,0.00555
alto_contagio,11,1331,BT,0.003226
alto_contagio,11,1331,BT-F,0.002675
alto_contagio,11,1331,BT-O,0.009888
alto_contagio,11,1331,BT,0.005491
alto_contagio,11,1331,BT-F,0.0052
alto_contagio,11,1331,BT-O,0.01094
alto_contagio,11,1331,BT,0.00569
alto_contagio,11,1331,BT-F,0.002735
alto_contagio,11,1331,BT-O,0.005421
alto_contagio,11,1331,BT,0.003857
alto_contagio,11,1331,BT-F,0.00494
alto_contagio,11,1331,BT-O,0.009428
alto_contagio,11,1331,BT,0.005951
alto_contagio,11,1331,BT-F,0.005219
alto_contagio,11,1331,BT-O,0.009739
alto_contagio,11,1331,BT,0.006101
alto_contagio,11,1331,BT-F,0.003767
alto_contagio,11,1331,BT-O,0.01071
alto_contagio,12,1728,BT,0.005991
alto_contagio,12,1728,BT-F,0.004939
alto_contagio,12,1728,BT-O,0.011191
alto_contagio,12,1728,BT,0.00529
alto_contagio,12,1728,BT-F,0.005571
alto_contagio,12,1728,BT-O,0.012393
alto_contagio,12,1728,BT,0.00548
alto_contagio,12,1728,BT-F,0.00539
alto_contagio,12,1728,BT-O,0.012103
alto_contagio,12,1728,BT,0.005861
alto_contagio,12,1728,BT-F,0.005731
alto_contagio,12,1728,BT-O,0.011071
alto_contagio,12,1728,BT,0.00524
alto_contagio,12,1728,BT-F,0.00545
alto_contagio,12,1728,BT-O,0.012013
alto_contagio,12,1728,BT,0.003577
alto_contagio,12,1728,BT-F,0.003056
alto_contagio,12,1728,BT-O,0.011542
alto_contagio,12,1728,BT,0.005911
alto_contagio,12,1728,BT-F,0.002725
alto_contagio,12,1728,BT-O,0.006101
alto_contagio,12,1728,BT,0.003036
alto_contagio,12,1728,BT-F,0.002765
alto_contagio,12,1728,BT-O,0.010921
alto_contagio,12,1728,BT,0.005671
alto_contagio,12,1728,BT-F,0.004979
alto_contagio,12,1728,BT-O,0.011001
alto_contagio,12,1728,BT,0.00549
alto_contagio,12,1728,BT-F,0.00501
alto_contagio,12,1728,BT-O,0.012363
alto_contagio,13,2197,BT,0.009618
alto_contagio,13,2197,BT-F,0.007564
alto_contagio,13,2197,BT-O,0.015749
alto_contagio,13,2197,BT,0.008977
alto_contagio,13,2197,BT-F,0.007705
alto_contagio,13,2197,BT-O,0.017543
alto_contagio,13,2197,BT,0.009878
alto_contagio,13,2197,BT-F,0.007384
alto_contagio,13,2197,BT-O,0.017613
alto_contagio,13,2197,BT,0.00549
alto_contagio,13,2197,BT-F,0.0057
alto_contagio,13,2197,BT-O,0.017853
alto_contagio,13,2197,BT,0.009438
alto_contagio,13,2197,BT-F,0.007844
alto_contagio,13,2197,BT-O,0.01606
alto_contagio,13,2197,BT,0.009618
alto_contagio,13,2197,BT-F,0.0051
alto_contagio,13,2197,BT-O,0.017744
alto_contagio,13,2197,BT,0.009798
alto_contagio,13,2197,BT-F,0.008486
alto_contagio,13,2197,BT-O,0.017663
alto_contagio,13,2197,BT,0.009608
alto_contagio,13,2197,BT-F,0.007464
alto_contagio,13,2197,BT-O,0.01574
alto_contagio,13,2197,BT,0.009157
alto_contagio,13,2197,BT-F,0.007754
alto_contagio,13,2197,BT-O,0.010539
alto_contagio,13,2197,BT,0.004989
alto_contagio,13,2197,BT-F,0.00569
alto_contagio,13,2197,BT-O,0.0159
alto_contagio,14,2744,BT,0.010119
alto_contagio,14,2744,BT-F,0.007203
alto_contagio,14,2744,BT-O,0.023184
alto_contagio,14,2744,BT,0.011081
alto_contagio,14,2744,BT-F,0.007344
alto_contagio,14,2744,BT-O,0.023403
alto_contagio,14,2744,BT,0.009808
alto_contagio,14,2744,BT-F,0.007344
alto_contagio,14,2744,BT-O,0.023324
alto_contagio,14,2744,BT,0.009758
alto_contagio,14,2744,BT-F,0.007424
alto_contagio,14,2744,BT-O,0.023323
alto_contagio,14,2744,BT,0.011041
alto_contagio,14,2744,BT-F,0.008115
alto_contagio,14,2744,BT-O,0.025678
alto_contagio,14,2744,BT,0.011331
alto_contagio,14,2744,BT-F,0.007995
alto_contagio,14,2744,BT-O,0.023023
alto_contagio,14,2744,BT,0.01076
alto_contagio,14,2744,BT-F,0.007334
alto_contagio,14,2744,BT-O,0.026048
alto_contagio,14,2744,BT,0.010881
alto_contagio,14,2744,BT-F,0.007754
alto_contagio,14,2744,BT-O,0.024125
alto_contagio,14,2744,BT,0.010961
alto_contagio,14,2744,BT-F,0.007324
alto_contagio,14,2744,BT-O,0.025838
alto_contagio,14,2744,BT,0.010139
alto_contagio,14,2744,BT-F,0.007544
alto_contagio,14,2744,BT-O,0.026019
alto_contagio,15,3375,BT,0.00542
alto_contagio,15,3375,BT-F,0.007885
alto_contagio,15,3375,BT-O,0.029284
alto_contagio,15,3375,BT,0.004759
alto_contagio,15,3375,BT-F,0.007705
alto_contagio,15,3375,BT-O,0.017262
alto_contagio,15,3375,BT,0.008747
alto_contagio,15,3375,BT-F,0.007123
alto_contagio,15,3375,BT-O,0.031178
alto_contagio,15,3375,BT,0.009167
alto_contagio,15,3375,BT-F,0.007124
alto_contagio,15,3375,BT-O,0.030297
alto_contagio,15,3375,BT,0.00528
alto_contagio,15,3375,BT-F,0.007133
alto_contagio,15,3375,BT-O,0.029715
alto_contagio,15,3375,BT,0.009278
alto_contagio,15,3375,BT-F,0.007784
alto_contagio,15,3375,BT-O,0.033413
alto_contagio,15,3375,BT,0.009448
alto_contagio,15,3375,BT-F,0.006763
alto_contagio,15,3375,BT-O,0.032721
alto_contagio,15,3375,BT,0.008636
alto_contagio,15,3375,BT-F,0.006993
alto_contagio,15,3375,BT-O,0.029755
alto_contagio,15,3375,BT,0.009097
alto_contagio,15,3375,BT-F,0.007785
alto_contagio,15,3375,BT-O,0.032922
alto_contagio,15,3375,BT,0.004939
alto_contagio,15,3375,BT-F,0.007684
alto_contagio,15,3375,BT-O,0.029395
alto_contagio,16,4096,BT,0.009127
alto_contagio,16,4096,BT-F,0.007173
alto_contagio,16,4096,BT-O,0.05363
alto_contagio,16,4096,BT,0.009267
alto_contagio,16,4096,BT-F,0.006933
alto_contagio,16,4096,BT-O,0.052949
alto_contagio,16,4096,BT,0.01043
alto_contagio,16,4096,BT-F,0.007283
alto_contagio,16,4096,BT-O,0.049592
alto_contagio,16,4096,BT,0.009808
alto_contagio,16,4096,BT-F,0.007704
alto_contagio,16,4096,BT-O,0.027582
alto_contagio,16,4096,BT,0.01049
alto_contagio,16,4096,BT-F,0.007073
alto_contagio,16,4096,BT-O,0.052739
alto_contagio,16,4096,BT,0.010209
alto_contagio,16,4096,BT-F,0.007674
alto_contagio,16,4096,BT-O,0.052958
alto_contagio,16,4096,BT,0.006181
alto_contagio,16,4096,BT-F,0.007904
alto_contagio,16,4096,BT-O,0.053079
alto_contagio,16,4096,BT,0.01096
alto_contagio,16,4096,BT-F,0.007023
alto_contagio,16,4096,BT-O,0.049392
alto_contagio,16,4096,BT,0.010339
alto_contagio,16,4096,BT-F,0.007024
alto_contagio,16,4096,BT-O,0.047318
alto_contagio,16,4096,BT,0.01056
alto_contagio,16,4096,BT-F,0.007804
alto_contagio,16,4096,BT-O,0.053229
alto_contagio,17,4913,BT,0.017032
alto_contagio,17,4913,BT-F,0.012193
alto_contagio,17,4913,BT-O,0.070391
alto_contagio,17,4913,BT,0.018444
alto_contagio,17,4913,BT-F,0.008846
alto_contagio,17,4913,BT-O,0.039474
alto_contagio,17,4913,BT,0.008736
alto_contagio,17,4913,BT-F,0.01081
alto_contagio,17,4913,BT-O,0.078145
alto_contagio,17,4913,BT,0.015299
alto_contagio,17,4913,BT-F,0.011101
alto_contagio,17,4913,BT-O,0.050855
alto_contagio,17,4913,BT,0.008586
alto_contagio,17,4913,BT-F,0.006252
alto_contagio,17,4913,BT-O,0.070722
alto_contagio,17,4913,BT,0.015368
alto_contagio,17,4913,BT-F,0.011442
alto_contagio,17,4913,BT-O,0.085039
alto_contagio,17,4913,BT,0.008596
alto_contagio,17,4913,BT-F,0.006191
alto_contagio,17,4913,BT-O,0.050815
alto_contagio,17,4913,BT,0.017072
alto_contagio,17,4913,BT-F,0.012273
alto_contagio,17,4913,BT-O,0.070121
alto_contagio,17,4913,BT,0.017232
alto_contagio,17,4913,BT-F,0.011321
alto_contagio,17,4913,BT-O,0.078437
alto_contagio,17,4913,BT,0.015449
alto_contagio,17,4913,BT-F,0.011983
alto_contagio,17,4913,BT-O,0.079248
alto_contagio,18,5832,BT,0.010901
alto_contagio,18,5832,BT-F,0.006843
alto_contagio,18,5832,BT-O,0.057788
alto_contagio,18,5832,BT,0.007684
alto_contagio,18,5832,BT-F,0.005941
alto_contagio,18,5832,BT-O,0.057978
alto_contagio,18,5832,BT,0.007995
alto_contagio,18,5832,BT-F,0.006082
alto_contagio,18,5832,BT-O,0.068528
alto_contagio,18,5832,BT,0.016171
alto_contagio,18,5832,BT-F,0.012053
alto_contagio,18,5832,BT-O,0.116447
alto_contagio,18,5832,BT,0.015278
alto_contagio,18,5832,BT-F,0.011862
alto_contagio,18,5832,BT-O,0.058499
alto_contagio,18,5832,BT,0.013716
